Date,Countries,Impression,Clicks,Cost,Avg. CPC,Conversions,View Through
Apr-12,CAMBODIA| Search,0,0,0,0,0,0
Apr-12,SOUTH KOREA| Content,214351,287,14.2,0.05,2,2
Apr-12,Import-with-Country-names-1,0,0,0,0,0,0
Apr-12,MOZAMBIQUE | Content (mobile),0,0,0,0,0,0
Apr-12,JAMAICA| Content (mobile),0,0,0,0,0,0
Apr-12,BAHRAIN| Search,0,0,0,0,0,0
Apr-12,COSTA RICA| Content #,98612,118,9.63,0.08,1,1
Apr-12,AZERBAIJAN| Search,0,0,0,0,0,0
Apr-12,MEXICO| Content,306387,379,22.98,0.06,0,0
Apr-12,SAMOA| Content,14048,16,2.82,0.18,1,1
Apr-12,AFGHANISTAN| Content,108024,264,29.48,0.11,34,25
Apr-12,KAZAKHSTAN| Search,0,0,0,0,0,0
Apr-12,CANADA| Search,0,0,0,0,0,0
Apr-12,LEBANON| Content,191195,282,30.45,0.11,15,13
Apr-12,MEXICO| Search,0,0,0,0,0,0
Apr-12,TURKS AND CAICOS ISLANDS | Content,130822,176,32.88,0.19,6,5
Apr-12,COTE D'IVOIRE | Search,0,0,0,0,0,0
Apr-12,BAHAMAS | Search,0,0,0,0,0,0
Apr-12,Senegal | Search,0,0,0,0,0,0
Apr-12,DOMINICA| Content #,91519,206,20.95,0.1,10,9
Apr-12,CAMEROON | Search,0,0,0,0,0,0
Apr-12,NICARAGUA| Content #,199671,337,30.38,0.09,13,9
Apr-12,BURUNDI| Content (Mark) #,511,0,0,0,0,0
Apr-12,Hong Kong| Content #,0,0,0,0,0,0
Apr-12,GUYANA | Search,0,0,0,0,0,0
Apr-12,VIETNAM| Search,0,0,0,0,0,0
Apr-12,RWANDA| Search,0,0,0,0,0,0
Apr-12,MALAYSIA | Search,0,0,0,0,0,0
Apr-12,MALAYSIA| Content,337453,572,55.35,0.1,18,14
Apr-12,PANAMA| Content,171626,368,30.38,0.08,10,9
Apr-12,Country Specific Keywords,0,0,0,0,0,0
Apr-12,ZAMBIA| Content,0,0,0,0,0,0
Apr-12,NIGERIA| Content #,244690,1227,119.44,0.1,229,182
Apr-12,MALAYSIA| Search,0,0,0,0,0,0
Apr-12,ZAMBIA | Search,0,0,0,0,0,0
Apr-12,LESOTHO| Search,0,0,0,0,0,0
Apr-12,PALAU| Content,2115,8,1.19,0.15,1,1
Apr-12,SIERRA LEONE| Content,41409,136,16.54,0.12,9,8
Apr-12,TURKEY| Content,81141,114,5.84,0.05,0,0
Apr-12,SOLOMON ISLANDS| Search,0,0,0,0,0,0
Apr-12,GHANA| Search,0,0,0,0,0,0
Apr-12,JAMAICA| Search,575,26,6.27,0.24,0,0
Apr-12,MAURITIUS| Content,705925,786,89.18,0.11,44,39
Apr-12,VIRGIN ISLAND | Search,0,0,0,0,0,0
Apr-12,INDONESIA| Content,267599,522,30.46,0.06,16,13
Apr-12,BAHAMAS| Content (mobile),0,0,0,0,0,0
Apr-12,BANGLADESH| Content,564979,829,87.72,0.11,34,26
Apr-12,ZIMBABWE| Remarketing,0,0,0,0,0,0
Apr-12,TANZANIA | Content,90273,113,10.8,0.1,2,2
Apr-12,CAMEROON| Search,0,0,0,0,0,0
Apr-12,SENEGAL| Content #,74328,97,10.93,0.11,9,8
Apr-12,MICRONESIA| Search,0,0,0,0,0,0
Apr-12,ETHIOPIA| Search,0,0,0,0,0,0
Apr-12,PAPUA NEW GUINEA| Content,13292,23,3.67,0.16,3,3
Apr-12,BAHAMAS| Content,329118,588,97.84,0.17,24,20
Apr-12,NEW ZEALAND| Search,0,0,0,0,0,0
Apr-12,SAMOA| Search,0,0,0,0,0,0
Apr-12,ZIMBABWE| Content (Mark) Account 8,0,0,0,0,0,0
Apr-12,MICRONESIA | Search,0,0,0,0,0,0
Apr-12,GHANA | Search,0,0,0,0,0,0
Apr-12,TAJIKISTAN| Search,0,0,0,0,0,0
Apr-12,NIGERIA| Search,0,0,0,0,0,0
Apr-12,AUSTRALIA | Search,0,0,0,0,0,0
Apr-12,GABON| Search,0,0,0,0,0,0
Apr-12,NAMIBIA| Search,0,0,0,0,0,0
Apr-12,BERMUDA| Content,0,0,0,0,0,0
Apr-12,MADAGASCAR| Search,0,0,0,0,0,0
Apr-12,BENIN| Search,0,0,0,0,0,0
Apr-12,LIBYA| Search,0,0,0,0,0,0
Apr-12,CYPRUS| Search,0,0,0,0,0,0
Apr-12,LIBYA| Content,220301,640,30.4,0.05,0,0
Apr-12,GUATEMALA| Search,0,0,0,0,0,0
Apr-12,DOMINICA| Search,0,0,0,0,0,0
Apr-12,CAYMAN| Search,0,0,0,0,0,0
Apr-12,TANZANIA| Search,986,22,6.59,0.3,0,0
Apr-12,MADAGASCAR| Content,0,0,0,0,0,0
Apr-12,CAMEROON| Content #,156182,382,47.84,0.13,47,44
Apr-12,GEORGIA| Content,1964901,2359,228.99,0.1,60,41
Apr-12,BAHRAIN| Content #,179544,248,30.47,0.12,11,10
Apr-12,GRENADA| Content #,21045,28,2.76,0.1,3,2
Apr-12,DJIBOUTI| Search,0,0,0,0,0,0
Apr-12,ZAMBIA| Search,585,4,1.21,0.3,0,0
Apr-12,ZAMBIA| Content,83203,156,19.76,0.13,0,0
Apr-12,STKITTS | Search,0,0,0,0,0,0
Apr-12,ANGOLA | Search,0,0,0,0,0,0
Apr-12,FRANCE| Search,0,0,0,0,0,0
Apr-12,TANZANIA | Search,0,0,0,0,0,0
Apr-12,GEORGIA| Search,0,0,0,0,0,0
Apr-12,ENGLAND| Content #,967123,61,14.49,0.24,5,4
Apr-12,UAE| Search,0,0,0,0,0,0
Apr-12,NEW ZEALAND | Search,0,0,0,0,0,0
Apr-12,BOTSWANA | Search,0,0,0,0,0,0
Apr-12,UGANDA| Content (Mark) Account 8,0,0,0,0,0,0
Apr-12,TONGA | Search,0,0,0,0,0,0
Apr-12,KIRIBATI| Content #,13110,45,7.61,0.17,4,3
Apr-12,AFGHANISTAN| Search,0,0,0,0,0,0
Apr-12,ARMENIA| Content,11972,35,1.25,0.04,0,0
Apr-12,GHANA | Search (for Germany),0,0,0,0,0,0
Apr-12,NIGERIA | Search (for Germany),0,0,0,0,0,0
Apr-12,CAYMAN| Content #,16927,19,1.96,0.1,0,0
Apr-12,HONG KONG | Search,0,0,0,0,0,0
Apr-12,CONGO| Content (Mark) Account 8,0,0,0,0,0,0
Apr-12,PARAGUAY| Content,1194455,2791,217.52,0.08,99,74
Apr-12,Chile-Search,0,0,0,0,0,0
Apr-12,NIGERIA | Search,0,0,0,0,0,0
Apr-12,MALAWI| Content (Mark),30544,93,16.52,0.18,5,5
Apr-12,MOZAMBIQUE | Search,0,0,0,0,0,0
Apr-12,PAKISTAN| Content,169283,658,30.89,0.05,40,36
Apr-12,GUYANA| Search,475,16,4.31,0.27,0,0
Apr-12,UNITED STATES OF AMERICA| Search,0,0,0,0,0,0
Apr-12,SWAZILAND| Search,0,0,0,0,0,0
Apr-12,PAPUA NEW GUINEA| Search,0,0,0,0,0,0
Apr-12,KENYA | Search,0,0,0,0,0,0
Apr-12,SINGAPORE| Content,2114,4,0.39,0.1,0,0
Apr-12,PHILIPPINES | Search,0,0,0,0,0,0
Apr-12,RUSSIA| Content,1793062,2455,228.23,0.09,48,38
Apr-12,JAMAICA| Content,141448,334,18.88,0.06,0,0
Apr-12,KYRGYZSTAN| Search,0,0,0,0,0,0
Apr-12,SRI LANKA| Search,0,0,0,0,0,0
Apr-12,ZIMBABWE | Content,193453,236,26.17,0.11,0,0
Apr-12,MONGOLIA| Content,567495,1435,157.51,0.11,62,58
Apr-12,BURUNDI | Search,0,0,0,0,0,0
Apr-12,COTE DIVOIRE| Search,0,0,0,0,0,0
Apr-12,PANAMA| Search,0,0,0,0,0,0
Apr-12,SWAZILAND | Search,0,0,0,0,0,0
Apr-12,BARBADOS| Content,47672,68,4.67,0.07,1,1
Apr-12,LESOTHO| Content (Mark),0,0,0,0,0,0
Apr-12,STKITTS| Search,0,0,0,0,0,0
Apr-12,HAITI| Content #,0,0,0,0,0,0
Apr-12,CAYMAN | Search,0,0,0,0,0,0
Apr-12,MOZAMBIQUE| Search,0,0,0,0,0,0
Apr-12,PHILIPPINES| Search,0,0,0,0,0,0
Apr-12,FINLAND| Search,0,0,0,0,0,0
