Date,Country Specific Keywords,Impression,Clicks,Cost,Avg.CPC,Conversion,View Through Conversion
12-Apr,CAMBODIA| Search,0,0,0,0,0,0
12-Apr,SOUTH KOREA| Content,214351,287,14.2,0.05,2,2
12-Apr,Import-with-Country-names-1,0,0,0,0,0,0
12-Apr,MOZAMBIQUE | Content (mobile),0,0,0,0,0,0
12-Apr,JAMAICA| Content (mobile),0,0,0,0,0,0
12-Apr,BAHRAIN| Search,0,0,0,0,0,0
12-Apr,COSTA RICA| Content #,98612,118,9.63,0.08,1,1
12-Apr,AZERBAIJAN| Search,0,0,0,0,0,0
12-Apr,MEXICO| Content,306387,379,22.98,0.06,0,0
12-Apr,SAMOA| Content,14048,16,2.82,0.18,1,1
12-Apr,AFGHANISTAN| Content,108024,264,29.48,0.11,34,25
12-Apr,KAZAKHSTAN| Search,0,0,0,0,0,0
12-Apr,CANADA| Search,0,0,0,0,0,0
12-Apr,LEBANON| Content,191195,282,30.45,0.11,15,13
12-Apr,MEXICO| Search,0,0,0,0,0,0
12-Apr,TURKS AND CAICOS ISLANDS | Content,130822,176,32.88,0.19,6,5
12-Apr,COTE D'IVOIRE | Search,0,0,0,0,0,0
12-Apr,BAHAMAS | Search,0,0,0,0,0,0
12-Apr,Senegal | Search,0,0,0,0,0,0
12-Apr,DOMINICA| Content #,91519,206,20.95,0.1,10,9
12-Apr,CAMEROON | Search,0,0,0,0,0,0
12-Apr,NICARAGUA| Content #,199671,337,30.38,0.09,13,9
12-Apr,BURUNDI| Content (Mark) #,511,0,0,0,0,0
12-Apr,Hong Kong| Content #,0,0,0,0,0,0
12-Apr,GUYANA | Search,0,0,0,0,0,0
12-Apr,VIETNAM| Search,0,0,0,0,0,0
12-Apr,RWANDA| Search,0,0,0,0,0,0
12-Apr,MALAYSIA | Search,0,0,0,0,0,0
12-Apr,MALAYSIA| Content,337453,572,55.35,0.1,18,14
12-Apr,PANAMA| Content,171626,368,30.38,0.08,10,9
12-Apr,Country Specific Keywords,0,0,0,0,0,0
12-Apr,ZAMBIA| Content,0,0,0,0,0,0
12-Apr,NIGERIA| Content #,244690,1227,119.44,0.1,229,182
12-Apr,MALAYSIA| Search,0,0,0,0,0,0
12-Apr,ZAMBIA | Search,0,0,0,0,0,0
12-Apr,LESOTHO| Search,0,0,0,0,0,0
12-Apr,PALAU| Content,2115,8,1.19,0.15,1,1
12-Apr,SIERRA LEONE| Content,41409,136,16.54,0.12,9,8
12-Apr,TURKEY| Content,81141,114,5.84,0.05,0,0
12-Apr,SOLOMON ISLANDS| Search,0,0,0,0,0,0
12-Apr,GHANA| Search,0,0,0,0,0,0
12-Apr,JAMAICA| Search,575,26,6.27,0.24,0,0
12-Apr,MAURITIUS| Content,705925,786,89.18,0.11,44,39
12-Apr,VIRGIN ISLAND | Search,0,0,0,0,0,0
12-Apr,INDONESIA| Content,267599,522,30.46,0.06,16,13
12-Apr,BAHAMAS| Content (mobile),0,0,0,0,0,0
12-Apr,BANGLADESH| Content,564979,829,87.72,0.11,34,26
12-Apr,ZIMBABWE| Remarketing,0,0,0,0,0,0
12-Apr,TANZANIA | Content,90273,113,10.8,0.1,2,2
12-Apr,CAMEROON| Search,0,0,0,0,0,0
12-Apr,SENEGAL| Content #,74328,97,10.93,0.11,9,8
12-Apr,MICRONESIA| Search,0,0,0,0,0,0
12-Apr,ETHIOPIA| Search,0,0,0,0,0,0
12-Apr,PAPUA NEW GUINEA| Content,13292,23,3.67,0.16,3,3
12-Apr,BAHAMAS| Content,329118,588,97.84,0.17,24,20
12-Apr,NEW ZEALAND| Search,0,0,0,0,0,0
12-Apr,SAMOA| Search,0,0,0,0,0,0
12-Apr,ZIMBABWE| Content (Mark) Account 8,0,0,0,0,0,0
12-Apr,MICRONESIA | Search,0,0,0,0,0,0
12-Apr,GHANA | Search,0,0,0,0,0,0
12-Apr,TAJIKISTAN| Search,0,0,0,0,0,0
12-Apr,NIGERIA| Search,0,0,0,0,0,0
12-Apr,AUSTRALIA | Search,0,0,0,0,0,0
12-Apr,GABON| Search,0,0,0,0,0,0
12-Apr,NAMIBIA| Search,0,0,0,0,0,0
12-Apr,BERMUDA| Content,0,0,0,0,0,0
12-Apr,MADAGASCAR| Search,0,0,0,0,0,0
12-Apr,BENIN| Search,0,0,0,0,0,0
12-Apr,LIBYA| Search,0,0,0,0,0,0
12-Apr,CYPRUS| Search,0,0,0,0,0,0
12-Apr,LIBYA| Content,220301,640,30.4,0.05,0,0
12-Apr,GUATEMALA| Search,0,0,0,0,0,0
12-Apr,DOMINICA| Search,0,0,0,0,0,0
12-Apr,CAYMAN| Search,0,0,0,0,0,0
12-Apr,TANZANIA| Search,986,22,6.59,0.3,0,0
12-Apr,MADAGASCAR| Content,0,0,0,0,0,0
12-Apr,CAMEROON| Content #,156182,382,47.84,0.13,47,44
12-Apr,GEORGIA| Content,1964901,2359,228.99,0.1,60,41
12-Apr,BAHRAIN| Content #,179544,248,30.47,0.12,11,10
12-Apr,GRENADA| Content #,21045,28,2.76,0.1,3,2
12-Apr,DJIBOUTI| Search,0,0,0,0,0,0
12-Apr,ZAMBIA| Search,585,4,1.21,0.3,0,0
12-Apr,ZAMBIA| Content,83203,156,19.76,0.13,0,0
12-Apr,STKITTS | Search,0,0,0,0,0,0
12-Apr,ANGOLA | Search,0,0,0,0,0,0
12-Apr,FRANCE| Search,0,0,0,0,0,0
12-Apr,TANZANIA | Search,0,0,0,0,0,0
12-Apr,GEORGIA| Search,0,0,0,0,0,0
12-Apr,ENGLAND| Content #,967123,61,14.49,0.24,5,4
12-Apr,UAE| Search,0,0,0,0,0,0
12-Apr,NEW ZEALAND | Search,0,0,0,0,0,0
12-Apr,BOTSWANA | Search,0,0,0,0,0,0
12-Apr,UGANDA| Content (Mark) Account 8,0,0,0,0,0,0
12-Apr,TONGA | Search,0,0,0,0,0,0
12-Apr,KIRIBATI| Content #,13110,45,7.61,0.17,4,3
12-Apr,AFGHANISTAN| Search,0,0,0,0,0,0
12-Apr,ARMENIA| Content,11972,35,1.25,0.04,0,0
12-Apr,GHANA | Search (for Germany),0,0,0,0,0,0
12-Apr,NIGERIA | Search (for Germany),0,0,0,0,0,0
12-Apr,CAYMAN| Content #,16927,19,1.96,0.1,0,0
12-Apr,HONG KONG | Search,0,0,0,0,0,0
12-Apr,CONGO| Content (Mark) Account 8,0,0,0,0,0,0
12-Apr,PARAGUAY| Content,1194455,2791,217.52,0.08,99,74
12-Apr,Chile-Search,0,0,0,0,0,0
12-Apr,NIGERIA | Search,0,0,0,0,0,0
12-Apr,MALAWI| Content (Mark),30544,93,16.52,0.18,5,5
12-Apr,MOZAMBIQUE | Search,0,0,0,0,0,0
12-Apr,PAKISTAN| Content,169283,658,30.89,0.05,40,36
12-Apr,GUYANA| Search,475,16,4.31,0.27,0,0
12-Apr,UNITED STATES OF AMERICA| Search,0,0,0,0,0,0
12-Apr,SWAZILAND| Search,0,0,0,0,0,0
12-Apr,PAPUA NEW GUINEA| Search,0,0,0,0,0,0
