Date,Country Specific Keywords,Impression,Clicks,Cost,Avg.CPC,Conversion,View Through Conversion
12-Jan,NEW ZEALAND| Content #,0,0,0,0,0,0
12-Jan,BOLIVIA| Search,0,0,0,0,0,0
12-Jan,AUSTRALIA | Search,0,0,0,0,0,0
12-Jan,AFGHANISTAN| Search,0,0,0,0,0,0
12-Jan,KENYA| Content (mobile),0,0,0,0,0,0
12-Jan,SAMOA | Search,0,0,0,0,0,0
12-Jan,BRUNEI| Search,0,0,0,0,0,0
12-Jan,GUATEMALA | Search,0,0,0,0,0,0
12-Jan,RWANDA | Search,0,0,0,0,0,0
12-Jan,MADAGASCAR| Search,0,0,0,0,0,0
12-Jan,LESOTHO| (Sales) Content,0,0,0,0,0,0
12-Jan,Hong Kong| Content #,0,0,0,0,0,0
12-Jan,PHILIPPINES | Search,0,0,0,0,0,0
12-Jan,DENMARK| Search,0,0,0,0,0,0
12-Jan,SAUDI ARABIA| Search,0,0,0,0,0,0
12-Jan,TRINIDAD| Content (mobile),0,0,0,0,0,0
12-Jan,KENYA | Search,0,0,0,0,0,0
12-Jan,THAILAND| Content,0,0,0,0,0,0
12-Jan,SAUDI ARABIA| Content,0,0,0,0,0,0
12-Jan,TURKEY| Search,0,0,0,0,0,0
12-Jan,CAMBODIA| Search,0,0,0,0,0,0
12-Jan,ZIMBABWE | Content,0,0,0,0,0,0
12-Jan,COTE D'IVOIRE | Search (for Germany),0,0,0,0,0,0
12-Jan,CAMEROON| Search,0,0,0,0,0,0
12-Jan,HAITI| Content #,0,0,0,0,0,0
12-Jan,SURINAME| Content,0,0,0,0,0,0
12-Jan,THAILAND | Search,0,0,0,0,0,0
12-Jan,SURINAME | Search,0,0,0,0,0,0
12-Jan,MONGOLIA| Search,0,0,0,0,0,0
12-Jan,GEORGIA | Search,0,0,0,0,0,0
12-Jan,PALAU| Search,0,0,0,0,0,0
12-Jan,NEW ZEALAND| Search,0,0,0,0,0,0
12-Jan,CAYMAN| Search,0,0,0,0,0,0
12-Jan,Import-With-Country-name-1,0,0,0,0,0,0
12-Jan,JORDAN| Content,0,0,0,0,0,0
12-Jan,BURUNDI| (Sales) Content,0,0,0,0,0,0
12-Jan,UGANDA| Content,0,0,0,0,0,0
12-Jan,ZIMBABWE| Search,0,0,0,0,0,0
12-Jan,NAMIBIA| Search,0,0,0,0,0,0
12-Jan,STVINCENT | Search,0,0,0,0,0,0
12-Jan,RUSSIA| Search,0,0,0,0,0,0
12-Jan,UGANDA| Content (Mark) Account 8,0,0,0,0,0,0
12-Jan,PERU| Content,0,0,0,0,0,0
12-Jan,SOUTH AFRICA | Search,0,0,0,0,0,0
12-Jan,UAE| Content,0,0,0,0,0,0
12-Jan,Burundi-Search,0,0,0,0,0,0
12-Jan,NICARAGUA| Content #,0,0,0,0,0,0
12-Jan,LESOTHO| Search,0,0,0,0,0,0
12-Jan,ENGLAND| Search,0,0,0,0,0,0
12-Jan,JAPAN| Search,0,0,0,0,0,0
12-Jan,SOMALIA | Search,0,0,0,0,0,0
12-Jan,ZAMBIA| Content (Mark) Account 8,0,0,0,0,0,0
12-Jan,LEBANON| Search,0,0,0,0,0,0
12-Jan,PAKISTAN| Content,0,0,0,0,0,0
12-Jan,COSTA RICA| Search,0,0,0,0,0,0
12-Jan,COSTA RICA| Content #,0,0,0,0,0,0
12-Jan,RC CONGO | Search,0,0,0,0,0,0
12-Jan,PAPUA NEW GUINEA| Search,0,0,0,0,0,0
12-Jan,ANGOLA| Content #,0,0,0,0,0,0
12-Jan,GUYANA | Search,0,0,0,0,0,0
12-Jan,ZIMBABWE | Search,0,0,0,0,0,0
12-Jan,BAHAMAS| Search,0,0,0,0,0,0
12-Jan,Chile-Search,0,0,0,0,0,0
12-Jan,STLUCIA| Search,0,0,0,0,0,0
12-Jan,Chile-(Search),0,0,0,0,0,0
12-Jan,SRI LANKA | Search,0,0,0,0,0,0
12-Jan,TURKMENISTAN| Search,0,0,0,0,0,0
12-Jan,TOGO | Search (for Germany),0,0,0,0,0,0
12-Jan,UNITED STATES OF AMERICA| Search,0,0,0,0,0,0
12-Jan,Test 1,0,0,0,0,0,0
12-Jan,CAMEROON | Search,0,0,0,0,0,0
12-Jan,MAURITIUS| Search,0,0,0,0,0,0
12-Jan,VIRGIN ISLAND| Content #,0,0,0,0,0,0
12-Jan,GUYANA| Content (mobile),0,0,0,0,0,0
12-Jan,PAKISTAN | Search,0,0,0,0,0,0
12-Jan,UGANDA| Search,0,0,0,0,0,0
12-Jan,AFGHANISTAN| Content,0,0,0,0,0,0
12-Jan,MEXICO| Search,0,0,0,0,0,0
12-Jan,TANZANIA | Content (mobile),0,0,0,0,0,0
12-Jan,COTE DIVOIRE| Search,0,0,0,0,0,0
12-Jan,BARBADOS | Search,0,0,0,0,0,0
12-Jan,Pre-Owned-Combination,0,0,0,0,0,0
12-Jan,CAMEROON | Search (for Germany),0,0,0,0,0,0
12-Jan,TURKS AND CAICOS ISLAND| Search,0,0,0,0,0,0
12-Jan,All-Search-Campaign,0,0,0,0,0,0
12-Jan,MALAYSIA | Search,0,0,4,0,0,0
12-Jan,UAE-Search-,0,0,0,0,0,0
12-Jan,LEBANON| Content,0,0,0,0,0,0
12-Jan,VIRGIN ISLAND| Search,0,0,0,0,0,0
12-Jan,SOUTH KOREA| Content,0,0,0,0,0,0
12-Jan,MEXICO | Search,0,0,0,0,0,0
12-Jan,GERMANY| Search,0,0,0,0,0,0
12-Jan,MALAYSIA| Search,0,0,4,0,0,0
12-Jan,ETHIOPIA| Content #,0,0,0,0,0,0
12-Jan,ANGOLA| Search,0,0,0,0,0,0
12-Jan,MICRONESIA| Search,0,0,0,0,0,0
12-Jan,TANZANIA | Content,0,0,0,0,0,0
12-Jan,EGYPT| Search,0,0,0,0,0,0
12-Jan,ZAMBIA| Content,0,0,0,0,0,0
12-Jan,BARBADOS| Content,0,0,0,0,0,0
12-Jan,SINGAPORE| Content,0,0,0,0,0,0
12-Jan,FINLAND| Search,0,0,0,0,0,0
12-Jan,TURKEY| Content,0,0,0,0,0,0
12-Jan,CAYMAN | Search,0,0,0,0,0,0
12-Jan,SIERRA LEONE | Search,0,0,0,0,0,0
12-Jan,KYRGYZSTAN | Search,0,0,0,0,0,0
12-Jan,RUSSIA | Search,0,0,0,0,0,0
12-Jan,MONGOLIA | Search,0,0,0,0,0,0
12-Jan,THAILAND| Search,0,0,0,0,0,0
12-Jan,ETHIOPIA| Search,0,0,0,0,0,0
12-Jan,BAHAMAS| Content (mobile),0,0,0,0,0,0
12-Jan,BANGLADESH | Search,0,0,0,0,0,0
12-Jan,LESOTHO | Search,0,0,0,0,0,0
12-Jan,DOMINICA| Search,0,0,0,0,0,0
12-Jan,MICRONESIA | Search,0,0,0,0,0,0
12-Jan,PARAGUAY | Search,0,0,0,0,0,0
12-Jan,BENIN | Search,0,0,0,0,0,0
12-Jan,GERMANY| Content #,0,0,0,0,0,0
12-Jan,TANZANIA | Search,0,0,0,0,0,0
12-Jan,UAE| Search,0,0,0,0,0,0
12-Jan,GRENADA| Content #,0,0,0,0,0,0
12-Jan,GABON| Search,0,0,0,0,0,0
12-Jan,LIBYA| Search,0,0,0,0,0,0
12-Jan,SINGAPORE| Search,0,0,0,0,0,0
12-Jan,PARAGUAY| Search,0,0,0,0,0,0
12-Jan,ARMENIA| Content,0,0,0,0,0,0
12-Jan,ZAMBIA| Search,0,0,0,0,0,0
12-Jan,Hong Kong-(Search),0,0,0,0,0,0
12-Jan,GEORGIA| Search,0,0,0,0,0,0
12-Jan,FRANCE| Content,0,0,0,0,0,0
12-Jan,NAMIBIA | Search,0,0,0,0,0,0
12-Jan,DENMARK| Content,0,0,0,0,0,0
12-Jan,ANTIGUA| Search,0,0,0,0,0,0
12-Jan,BENIN | Search (for Germany),0,0,0,0,0,0
12-Jan,KENYA| Search (Signups),0,0,0,0,0,0
12-Jan,CYPRUS| Search,0,0,0,0,0,0
12-Jan,KIRIBATI| Search,0,0,0,0,0,0
12-Jan,DR CONGO | Content,0,0,0,0,0,0
12-Jan,AUSTRALIA| Content #,0,0,0,0,0,0
12-Jan,KYRGYZSTAN| Search,0,0,0,0,0,0
12-Jan,AZERBAIJAN| Search,0,0,0,0,0,0
12-Jan,GUYANA| Search,0,0,0,0,0,0
12-Jan,MAURITIUS | Search,0,0,0,0,0,0
12-Jan,CHILE| Search,0,0,0,0,0,0
12-Jan,MALTA| Search,0,0,0,0,0,0
12-Jan,BERMUDA| Content,0,0,0,0,0,0
12-Jan,BENIN| Search,0,0,0,0,0,0
12-Jan,TUNISIA| Content,0,0,0,0,0,0
12-Jan,TONGA | Content,0,0,0,0,0,0
12-Jan,BOTSWANA| (Sales)Content,0,0,0,0,0,0
12-Jan,COTE D'IVOIRE | Search,0,0,0,0,0,0
12-Jan,BAHAMAS | Search,0,0,0,0,0,0
12-Jan,Mom recepies,0,0,0,0,0,0
12-Jan,MEXICO| Content,0,0,0,0,0,0
12-Jan,JORDAN| Search,0,0,0,0,0,0
12-Jan,CYPRUS | Search,0,0,0,0,0,0
12-Jan,ANTIGUA| Content,0,0,0,0,0,0
12-Jan,MOZAMBIQUE | Content (mobile),0,0,0,0,0,0
12-Jan,JAMAICA | Search,0,0,0,0,0,0
12-Jan,TONGA| Search,0,0,0,0,0,0
12-Jan,Brands-keywords,0,0,0,0,0,0
12-Jan,GUYANA| Content,0,0,0,0,0,0
12-Jan,MOZAMBIQUE | Search,0,0,0,0,0,0
12-Jan,INDONESIA| Search,0,0,0,0,0,0
12-Jan,TRINIDAD | Search,0,0,0,0,0,0
12-Jan,KAZAKHSTAN| Search,0,0,0,0,0,0
12-Jan,PALAU | Search,0,0,0,0,0,0
12-Jan,Senegal | Search,0,0,0,0,0,0
12-Jan,BURUNDI | Search,0,0,0,0,0,0
12-Jan,DOMINICA| Content #,0,0,0,0,0,0
12-Jan,MALAWI| Search,0,0,0,0,0,0
12-Jan,RWANDA| Search,0,0,0,0,0,0
12-Jan,BARBADOS| Search,0,0,0,0,0,0
12-Jan,HONDURAS| Search,0,0,0,0,0,0
12-Jan,TURKMENISTAN| Content,0,0,0,0,0,0
12-Jan,SWAZILAND| Search,0,0,0,0,0,0
12-Jan,TANZANIA | Content (tablet),0,0,0,0,0,0
12-Jan,BAHRAIN| Search,0,0,0,0,0,0
12-Jan,JAMAICA| Content (mobile),0,0,0,0,0,0
12-Jan,DOMINICAN REPUBLIC| Search,0,0,0,0,0,0
12-Jan,STKITTS| Search,0,0,0,0,0,0
12-Jan,ZAMBIA | Search,0,0,0,0,0,0
12-Jan,AUSTRALIA| Search,0,0,0,0,0,0
12-Jan,SENEGAL| Content #,0,0,0,0,0,0
12-Jan,DOMINICAN REPUBLIC| Content #,0,0,0,0,0,0
12-Jan,SWEDEN| Content,0,0,0,0,0,0
12-Jan,ZIMBABWE| Remarketing,0,0,0,0,0,0
12-Jan,BANGLADESH| Search,0,0,0,0,0,0
12-Jan,Country Specific Keywords,0,0,0,0,0,0
12-Jan,KUWAIT| Search,0,0,0,0,0,0
12-Jan,TANZANIA| Content (Mark) Account 8,0,0,0,0,0,0
12-Jan,PHILIPPINES| Search,0,0,0,0,0,0
12-Jan,Keywords-For-Content,0,0,0,0,0,0
12-Jan,INDONESIA| Content,0,0,0,0,0,0
12-Jan,VIRGIN ISLAND | Search,0,0,0,0,0,0
12-Jan,SOLOMON ISLANDS| Search,0,0,0,0,0,0
12-Jan,ARMENIA| Search,0,0,0,0,0,0
12-Jan,ANGOLA | Search,0,0,0,0,0,0
