Date,"Country Specific Keywords",Impression,Clicks,Cost,Avg.CPC,Conversion,"View Through Conversion"
12-Jan,UAE,0,0,0,0,0,0
12-Jan,UGANDA,29325,32,3.54,0.11,0,0
12-Jan,"UNITED STATES OF AMERICA",0,0,0,0,0,0
12-Jan,VIETNAM,0,0,0,0,0,0
12-Jan,"VIRGIN ISLAND",0,0,0,0,0,0
12-Jan,ZAMBIA,159171,280,33.15,0.23,10,8
12-Jan,ZIMBABWE,0,0,0,0,0,0
12-Jan,"NETHERLAND ANTILLES",56216,127,11.19,0.09,6,4
12-Jan,Hong-Kong-Search,0,0,0,0,0,0
12-Jan,Import-with-Country-names-1,0,0,0,0,0,0
12-Jan,Import-With-Country-name-1,0,0,0,0,0,0
12-Jan,"TEST 1",0,0,0,0,0,0
12-Jan,"COTE DIVOIRE",0,0,0,0,0,0
12-Jan,Pre-Owned-Combination,0,0,0,0,0,0
12-Jan,"TURKS AND CAICOS ISLAND",0,0,0,0,0,0
12-Jan,All-Search-Campaign,0,0,0,0,0,0
12-Jan,"MOM RECEPIES",0,0,0,0,0,0
12-Jan,Brands-keywords,0,0,0,0,0,0
12-Jan,"COUNTRY SPECIFIC KEYWORDS",0,0,0,0,0,0
12-Jan,Keywords-For-Content,0,0,0,0,0,0
12-Jan,"UPLOADING GROUPS",0,0,0,0,0,0
